model,2_Floor_Haus_BuildingArabic05.rdf,2_Floor_Haus_BuildingArabic06.rdf,2_Floor_Haus_Peri.rdf,2_Floor_RevitDemo_StructuralPlan_Building08.rdf,2_Floor_SlopedRoof_Revit-2026.rdf,7_Floor_Individualized Columns_Building04.rdf,8_Floor_Pattern Freeform Columns_Building03.rdf,Building_05_DG.rdf,Building_06_DG.rdf,DFAB_Analog_Building07.rdf
2_Floor_Haus_BuildingArabic05.rdf,1.0,0.9982670297297392,0.9878971298970832,0.8923764310989872,0.9816613939665692,0.8034566606099471,0.9945506291098392,1.0,0.9982670297297392,0.9646337727369784
2_Floor_Haus_BuildingArabic06.rdf,0.9982670297297392,1.0,0.995285449064068,0.9123011387596964,0.9906445387964586,0.8338804176637821,0.9867491799830356,0.9982670297297392,1.0,0.97826983520902
2_Floor_Haus_Peri.rdf,0.9878971298970832,0.995285449064068,1.0,0.9384197594867928,0.9980737942798106,0.8799699254027575,0.9667043041195952,0.9878971298970832,0.995285449064068,0.9936943420030424
2_Floor_RevitDemo_StructuralPlan_Building08.rdf,0.8923764310989872,0.9123011387596964,0.9384197594867928,1.0,0.9501873112688012,0.9326886018784591,0.8500823936831703,0.8923764310989872,0.9123011387596964,0.9576054805399228
2_Floor_SlopedRoof_Revit-2026.rdf,0.9816613939665692,0.9906445387964586,0.9980737942798106,0.9501873112688012,1.0,0.8911901909801121,0.9577926912690484,0.9816613939665692,0.9906445387964586,0.9949478015459294
7_Floor_Individualized Columns_Building04.rdf,0.8034566606099471,0.8338804176637821,0.8799699254027575,0.9326886018784591,0.8911901909801121,1.0,0.7457523511860173,0.8034566606099471,0.8338804176637821,0.9255439151653851
8_Floor_Pattern Freeform Columns_Building03.rdf,0.9945506291098392,0.9867491799830356,0.9667043041195952,0.8500823936831703,0.9577926912690484,0.7457523511860173,1.0,0.9945506291098392,0.9867491799830356,0.9330616049144091
Building_05_DG.rdf,1.0,0.9982670297297392,0.9878971298970832,0.8923764310989872,0.9816613939665692,0.8034566606099471,0.9945506291098392,1.0,0.9982670297297392,0.9646337727369784
Building_06_DG.rdf,0.9982670297297392,1.0,0.995285449064068,0.9123011387596964,0.9906445387964586,0.8338804176637821,0.9867491799830356,0.9982670297297392,1.0,0.97826983520902
DFAB_Analog_Building07.rdf,0.9646337727369784,0.97826983520902,0.9936943420030424,0.9576054805399228,0.9949478015459294,0.9255439151653851,0.9330616049144091,0.9646337727369784,0.97826983520902,1.0
